2019-10-28 14:24:34.428 INFO  c.x.a.AttendanceConsumerApplication -logStarting - [] - Starting AttendanceConsumerApplication on DESKTOP-TLROHGB with PID 8068 (C:\develop\longxin_kaoqin\attendance-consumer-public\target\classes started by haora in C:\develop\longxin_kaoqin\attendance-consumer-public)
2019-10-28 14:24:34.436 INFO  c.x.a.AttendanceConsumerApplication -logStartupProfileInfo - [] - The following profiles are active: dev
2019-10-28 14:24:38.033 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -multipleStoresDetected - [] - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-28 14:24:38.036 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-28 14:24:38.198 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Finished Spring Data repository scanning in 151ms. Found 0 repository interfaces.
2019-10-28 14:24:38.230 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -multipleStoresDetected - [] - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-28 14:24:38.233 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-28 14:24:38.353 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Finished Spring Data repository scanning in 102ms. Found 0 repository interfaces.
2019-10-28 14:24:38.964 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -postProcessAfterInitialization - [] - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$e4cda153] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-28 14:24:39.044 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -postProcessAfterInitialization - [] - Bean 'redisCacheConfig' of type [com.xywg.attendance.core.config.RedisCacheConfig$$EnhancerBySpringCGLIB$$3c38dca5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-28 14:24:39.068 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -postProcessAfterInitialization - [] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1e61e325] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-28 14:24:40.000 INFO  o.s.b.w.e.tomcat.TomcatWebServer -initialize - [] - Tomcat initialized with port(s): 9066 (http)
2019-10-28 14:24:40.035 INFO  o.a.coyote.http11.Http11NioProtocol -log - [] - Initializing ProtocolHandler ["http-nio-9066"]
2019-10-28 14:24:40.053 INFO  o.a.catalina.core.StandardService -log - [] - Starting service [Tomcat]
2019-10-28 14:24:40.054 INFO  o.a.catalina.core.StandardEngine -log - [] - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-10-28 14:24:40.069 INFO  o.a.c.core.AprLifecycleListener -log - [] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files (x86)\Java\jdk1.8.0_144\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Java\jdk1.8.0_144\bin;C:\Program Files (x86)\Java\jdk1.8.0_144\jre\bin;C:\Program Files\TortoiseSVN\bin;C:\WINDOWS\system32\config\systemprofile\.dnx\bin;C:\Program Files\Microsoft DNX\Dnvm\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files (x86)\VisualSVN\bin;C:\Program Files\nodejs\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Windows\System32;C:\Program Files\Python36;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Git\cmd;C:\Program Files\TortoiseHg\;C:\develop\maven\apache-maven-3.6.1-bin\apache-maven-3.6.1\bin;C:\Program Files (x86)\scala\bin;C:\Program Files (x86)\Fiddler2;C:\Users\haora\AppData\Roaming\npm;;C:\Program Files\Microsoft VS Code\bin;C:\Users\haora\AppData\Local\Microsoft\WindowsApps;.]
2019-10-28 14:24:40.424 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -log - [] - Initializing Spring embedded WebApplicationContext
2019-10-28 14:24:40.425 INFO  o.s.web.context.ContextLoader -prepareWebApplicationContext - [] - Root WebApplicationContext: initialization completed in 5834 ms
2019-10-28 14:24:42.810 INFO  com.zaxxer.hikari.HikariDataSource -getConnection - [] - HikariPool-1 - Starting...
2019-10-28 14:24:43.949 INFO  com.zaxxer.hikari.HikariDataSource -getConnection - [] - HikariPool-1 - Start completed.
2019-10-28 14:24:46.178 INFO   -setAddress - [] - ZBus Host Address is 192.168.1.64:15555
2019-10-28 14:24:46.843 INFO  org.mongodb.driver.cluster -info - [] - Cluster created with settings {hosts=[192.168.1.211:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-10-28 14:24:47.014 INFO  org.mongodb.driver.connection -info - [] - Opened connection [connectionId{localValue:1, serverValue:4562849}] to 192.168.1.211:27017
2019-10-28 14:24:47.024 INFO  org.mongodb.driver.cluster -info - [] - Monitor thread successfully connected to server with description ServerDescription{address=192.168.1.211:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 3]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=6626389}
2019-10-28 14:24:47.850 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'clientInboundChannelExecutor'
2019-10-28 14:24:47.860 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'clientOutboundChannelExecutor'
2019-10-28 14:24:47.871 INFO  o.s.s.c.ThreadPoolTaskScheduler -initialize - [] - Initializing ExecutorService 'messageBrokerTaskScheduler'
2019-10-28 14:24:47.941 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'brokerChannelExecutor'
2019-10-28 14:24:49.577 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - Starting...
2019-10-28 14:24:49.578 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2019-10-28 14:24:49.580 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - Started.
2019-10-28 14:24:49.582 INFO  o.s.a.r.c.CachingConnectionFactory -createBareConnection - [] - Attempting to connect to: [192.168.1.199:5672]
2019-10-28 14:24:49.649 INFO  o.s.a.r.c.CachingConnectionFactory -createBareConnection - [] - Created new connection: rabbitConnectionFactory#149409c:0/SimpleConnection@16075c0 [delegate=amqp://admin@192.168.1.199:5672/, localPort= 58933]
2019-10-28 14:24:49.849 INFO  o.a.coyote.http11.Http11NioProtocol -log - [] - Starting ProtocolHandler ["http-nio-9066"]
2019-10-28 14:24:49.912 INFO  o.s.b.w.e.tomcat.TomcatWebServer -start - [] - Tomcat started on port(s): 9066 (http) with context path ''
2019-10-28 14:24:49.922 INFO  c.x.a.AttendanceConsumerApplication -logStarted - [] - Started AttendanceConsumerApplication in 17.187 seconds (JVM running for 20.318)
